Track Name,artwork_url
Naagin,https://i.scdn.co/image/ab67616d0000b27314788487d61558494ec631f7
"Jab Tak (From ""M.S.Dhoni - The Untold Story"")",https://i.scdn.co/image/ab67616d0000b273f4e88554baba207fc6878ab5
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Sarsariya,https://i.scdn.co/image/ab67616d0000b2737656c9bbfef3806c4fe10ce8
The Horizon of Saudade,https://i.scdn.co/image/ab67616d0000b273f3582107f127c2765fafb431
Mere Samne Wali,https://i.scdn.co/image/ab67616d0000b2735cd517ab45b8fd6a9c328cf4
Aisay Kaisay,https://i.scdn.co/image/ab67616d0000b273ab5ce20a597c2e5b60347782
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Dekha Ek Khwaab X O Meri Laila,https://i.scdn.co/image/ab67616d0000b2732e40b72ccc3db7bff6ddd966
Zakir,https://i.scdn.co/image/ab67616d0000b27379c928cfd023364d6b01ec6f
Gul,https://i.scdn.co/image/ab67616d0000b2735c0540f97b3f95e387a9b58e
Agar Tum Saath Ho,https://i.scdn.co/image/ab67616d0000b273da50894e074ecd5ce61de0a1
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Falak Tak,https://i.scdn.co/image/ab67616d0000b273350fe52fe51edbfe385b6228
"Manike (From ""Thank God"")",https://i.scdn.co/image/ab67616d0000b273377b9c9d7c0eb54633f1256a
Sajania,https://i.scdn.co/image/ab67616d0000b273fc94e145c5c174ece06b198b
Maan Meri Jaan,https://i.scdn.co/image/ab67616d0000b27337f65266754703fd20d29854
Pipni,https://i.scdn.co/image/ab67616d0000b27390853ed444266d1d2bb55c28
Jaadugar,https://i.scdn.co/image/ab67616d0000b2731b706bbdda832bdc3f2264a0
Raja Raazi,https://i.scdn.co/image/ab67616d0000b2731b706bbdda832bdc3f2264a0
Laal Chunariya,https://i.scdn.co/image/ab67616d0000b27368c9c0d4b9e79b6e42024181
Laal Bindi,https://i.scdn.co/image/ab67616d0000b2730f239a4db336cf311a047bac
Kho Gaye,https://i.scdn.co/image/ab67616d0000b27390853ed444266d1d2bb55c28
Tera Ban Jaunga,https://i.scdn.co/image/ab67616d0000b273c5545f737b16ad5ee767b62a
Tera Yaar Hoon Main,https://i.scdn.co/image/ab67616d0000b27322927ab54277255e23fc4756
Tere Naina,https://i.scdn.co/image/ab67616d0000b2737881b6fe1d303657f9d409eb
OOPS,https://i.scdn.co/image/ab67616d0000b2732dd3f11b04f31d9acd49015b
Heer Toh Badi Sad Hai,https://i.scdn.co/image/ab67616d0000b273da50894e074ecd5ce61de0a1
Kya Say?,https://i.scdn.co/image/ab67616d0000b2739476ff2d18bfc362df2f9c08
Mera Dil Ye Pukare - Tu Aaja - Heartlock Mix,https://i.scdn.co/image/ab67616d0000b27349ba284ef0f5b658421d67b6
Rangi Saari,https://i.scdn.co/image/ab67616d0000b27368306b9b495f303159a892e3
Pehli Baar,https://i.scdn.co/image/ab67616d0000b273cff978906e5901b8efacc904
Preet Unplugged,https://i.scdn.co/image/ab67616d0000b273301293be03d810fedac87242
Skechers (feat. Badshah),https://i.scdn.co/image/ab67616d0000b2730d7df5e3626003ec9bfba1e6
