Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6nRGPf5tpeJtKpXZO5cgIT,Paro,Paro,Aditya Rikhari;UNPLG'd,11/12/2024,70400,81,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/20/2025,"hindi indie,indian indie,desi pop,hindi pop",Universal Music India Pvt Ltd.,0.694,0.292,10,-9.85,0,0.139,0.907,0,0.143,0.733,150.495,4
spotify:track:2oSnGQbI4tZxImmCs2c4PP,Nasamajh,Nasamajh,Aditya Rikhari,7/28/2022,249538,56,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/22/2025,"hindi indie,indian indie,desi pop,hindi pop",CollabX Productions,0.638,0.515,9,-8.912,0,0.0645,0.28,0.00000502,0.105,0.691,107.021,4
spotify:track:1QufGJee7k9v4Cfp2NxXbv,Abhi Kuch Dino Se,Dil Toh Baccha Hai Ji,Pritam;Mohit Chauhan,12/23/2010,285686,67,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/23/2025,"bollywood,hindi pop,desi,sufi",T-Series,0.703,0.695,4,-5.518,1,0.118,0.654,0,0.103,0.683,92.003,4
spotify:track:3uUAbrwsttRpv2kfAvAUN9,Teri Yaad,Teri Yaad,Aditya Rikhari,2/7/2023,230649,70,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/25/2025,"hindi indie,indian indie,desi pop,hindi pop",Universal Music India Pvt Ltd.,0.433,0.383,8,-12.059,0,0.125,0.814,0,0.0975,0.288,77.074,4
spotify:track:1rDjwexewf4hrdZT7SRNsH,Nasha (Equals Sessions),Nasha (Equals Sessions) - Single,Faridkot;Amar Jalal,10/25/2019,287573,46,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/26/2025,"indian indie,hindi indie",Anahad Foundation,0.78,0.46,6,-7.516,1,0.0851,0.455,0.000141,0.061,0.788,124.007,4
spotify:track:2TFQJcS4LnIe5HBHCsL3WM,Bheegi Bheegi Raaton Mein,Remembering Lata Mangeshkar,Lata Mangeshkar;Kishore Kumar,2/18/2022,228960,51,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/26/2025,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.493,0.604,1,-7.304,0,0.0455,0.989,0.655,0.242,0.716,95.966,4
spotify:track:56h75LnnsaBy4T8N8MSNgF,Baazigar O Baazigar,Baazigar (Original Motion Picture Soundtrack),Kumar Sanu;Alka Yagnik,4/2/1993,448948,54,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/26/2025,"bollywood,hindi pop,desi",Ishtar Music Pvt. Ltd.,0.484,0.671,4,-10.248,0,0.0371,0.52,0.00000235,0.147,0.675,106.012,4
spotify:track:0ytIKDOtfWCwyM0ioixuaX,"Gale Lag Ja Na Ja (From ""De Dana Dan"")",Versatile Bollywood Actor - Akshay Kumar,Javed Ali;Banjyotsna,11/5/2016,252200,46,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/28/2025,"sufi,bollywood,hindi pop,qawwali,desi,desi pop",Ishtar Music Pvt. Ltd.,0.611,0.833,1,-7.894,0,0.0486,0.108,0.0000125,0.114,0.868,172.066,4
spotify:track:0PTJKhENs5LiemObej1mpw,Whistle Baja,Heropanti,Manj;Nindy Kaur,5/23/2014,193611,43,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/28/2025,"gujarati garba,bollywood,bhangra",Saregama,0.751,0.835,0,-9.253,0,0.0468,0.198,0,0.17,0.691,108.016,4
spotify:track:0qrvf7kSHB6Q3EnElaKNHH,Baati Hum,Kumkum Se Kumkum Se,Juhi Parmar;Aadesh Shrivastava,7/7/2004,82517,13,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,5/1/2025,bollywood,KMI,0.547,0.547,0,-9.521,1,0.0283,0.691,0,0.842,0.641,110.408,4
spotify:track:5lLRB1nnTy1p8nFaH1Vdyf,Humnava,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Mithoon;Papon,5/21/2015,328854,61,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,5/1/2025,"bollywood,hindi pop,desi,sufi",Sony Music Entertainment India Pvt. Ltd.,0.314,0.478,4,-7.201,0,0.0412,0.783,0.0000208,0.147,0.276,199.631,4
spotify:track:1TTGaSAUsBy3BzPgQSs6Et,Saans Reprise,Jab Tak Hai Jaan,A.R. Rahman;Shreya Ghoshal;Gulzar,10/9/2012,124395,42,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,5/2/2025,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi,kannada pop,marathi pop,ghazal",YRF Music,0.298,0.429,4,-10.312,1,0.0344,0.796,0.0000177,0.0982,0.13,105.884,5
spotify:track:122FCMf052psls9894JYlf,Achchi Lagti Ho,Kuch Naa Kaho,Udit Narayan;Kavita Krishnamurthy,9/5/2003,378973,53,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,5/2/2025,"bollywood,hindi pop,desi,gujarati garba",Saregama,0.7,0.712,2,-10.426,0,0.066,0.343,0.00363,0.0752,0.493,92.008,4
spotify:track:5X1xYBfQgr2ZFnKKxVqUwP,Dil Tu Hi Bataa,Krrish 3,Alisha Chinai;Zubeen Garg,9/19/2013,400300,58,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,5/5/2025,"bollywood,desi,hindi pop,desi pop,bangla pop",T-Series,0.669,0.819,11,-4.355,0,0.0325,0.0043,0.0301,0.0621,0.296,106.011,4
spotify:track:6ABHr8kYCws5z6gC9Lwith,Baarish,Yaariyan,Mohammed Irfan;Gajendra Verma;Mithoon,12/9/2013,374938,66,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,5/5/2025,"hindi pop,bollywood,desi",T-Series,0.443,0.447,7,-7.895,0,0.0356,0.768,0,0.2,0.215,127.395,4
